sname,District_Name,Crop_Year,cseason,Crop,Area,production,ratio_of_production,label
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Sweet potato,22.0,208.0,0.013263614334906262,1
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Turmeric,32432.0,435634633.0,27779.27770692514,2
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Urad,1.5,1.16,7.397015686774645e-05,1
Andaman and Nicobar Islands,NICOBARS,2010.0,Whole Year ,Banana,593.0,3425.0,0.21840326488968242,1
Andaman and Nicobar Islands,NICOBARS,2010.0,Whole Year ,Coconut ,14560.0,71300000.0,4546.613952302002,2
Andaman and Nicobar Islands,NICOBARS,2010.0,Whole Year ,Tapioca,69.0,575.0,0.0366662415508226,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Kharif     ,Arecanut,3100.0,5200.0,0.33159035837265655,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Kharif     ,Other Kharif pulses,668.0,448.0,0.028567784721336566,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Kharif     ,Rice,10779.0,34634264326.0,2208536.176890703,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Banana,1531.0,12073.0,0.7698635378140544,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Cashewnut,80.0,54.0,0.003443438336946818,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Coconut ,6992.0,23900000.0,1524.0403009820177,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Dry ginger,352.0,1120.0,0.07141946180334141,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,other oilseeds,133.0,55.0,0.0035072057135569442,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Sugarcane,141.0,3736.0,0.2382349190154317,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Sweet potato,78.0,843.0,0.05375589848233644,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Tapioca,160.0,2108.0,0.13442162989414616,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Kharif     ,Arecanut,3100.0,634634634.0,40468.985716107636,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Kharif     ,Other Kharif pulses,418.0,199.0,0.012689707945415126,1
